task,tau,input_len,final_retention,executed_depth
mnli,0.95,20,0.523809552192688,12.0
mnli,0.95,42,0.5116279125213623,12.0
mnli,0.95,29,0.5,4.0
mnli,0.95,24,0.5199999809265137,12.0
mnli,0.95,44,0.5111111402511597,12.0
mnli,0.95,15,0.5625,12.0
mnli,0.95,31,0.53125,12.0
mnli,0.95,33,0.5,12.0
mnli,0.95,43,0.5,12.0
mnli,0.95,25,0.5384615659713745,12.0
mnli,0.95,56,0.4912280738353729,12.0
mnli,0.95,22,0.52173912525177,12.0
mnli,0.95,23,0.5,4.0
mnli,0.95,36,0.5135135054588318,12.0
mnli,0.95,29,0.5,12.0
mnli,0.95,44,0.5111111402511597,12.0
mnli,0.95,70,0.49295774102211,12.0
mnli,0.95,43,0.5,12.0
mnli,0.95,18,0.5263158082962036,4.0
mnli,0.95,28,0.517241358757019,12.0
mnli,0.95,33,0.5,12.0
mnli,0.95,19,0.5,12.0
mnli,0.95,11,0.5833333134651184,12.0
mnli,0.95,40,0.5121951103210449,12.0
mnli,0.95,53,0.5,4.0
mnli,0.95,28,0.517241358757019,12.0
mnli,0.95,43,0.5,12.0
mnli,0.95,40,0.5121951103210449,12.0
mnli,0.95,18,0.5263158082962036,12.0
mnli,0.95,31,0.53125,12.0
mnli,0.95,30,0.5161290168762207,12.0
mnli,0.95,31,0.53125,12.0
mnli,0.95,19,0.5,12.0
mnli,0.95,36,0.5135135054588318,12.0
mnli,0.95,36,0.5135135054588318,12.0
mnli,0.95,57,0.5,12.0
mnli,0.95,49,0.5,12.0
mnli,0.95,53,0.5,12.0
mnli,0.95,9,0.5,12.0
mnli,0.95,37,0.5,12.0
mnli,0.95,49,0.5,12.0
mnli,0.95,23,0.5,12.0
mnli,0.95,44,0.5111111402511597,12.0
mnli,0.95,63,0.5,12.0
mnli,0.95,41,0.5,12.0
mnli,0.95,30,0.5161290168762207,4.0
mnli,0.95,39,0.5,12.0
mnli,0.95,30,0.5161290168762207,12.0
mnli,0.95,51,0.5,12.0
mnli,0.95,64,0.5076923370361328,12.0
mnli,0.95,13,0.5,12.0
mnli,0.95,17,0.5555555820465088,12.0
mnli,0.95,53,0.5,12.0
mnli,0.95,17,0.5555555820465088,12.0
mnli,0.95,48,0.5102040767669678,12.0
mnli,0.95,14,0.5333333611488342,12.0
mnli,0.95,56,0.4912280738353729,12.0
mnli,0.95,46,0.5106382966041565,12.0
mnli,0.95,38,0.5128205418586731,12.0
mnli,0.95,21,0.5454545617103577,4.0
mnli,0.95,84,0.4941176474094391,12.0
mnli,0.95,19,0.5,12.0
mnli,0.95,54,0.5090909004211426,12.0
mnli,0.95,51,0.5,12.0
mnli,0.95,28,0.517241358757019,12.0
mnli,0.95,7,0.625,12.0
mnli,0.95,25,0.5384615659713745,12.0
mnli,0.95,18,0.5263158082962036,12.0
mnli,0.95,34,0.5142857432365417,12.0
mnli,0.95,67,0.5,12.0
mnli,0.95,38,0.5128205418586731,12.0
mnli,0.95,34,0.5142857432365417,12.0
mnli,0.95,28,0.517241358757019,12.0
mnli,0.95,28,0.517241358757019,12.0
mnli,0.95,31,0.53125,12.0
mnli,0.95,13,0.5,4.0
mnli,0.95,18,0.5263158082962036,12.0
mnli,0.95,32,0.5151515007019043,4.0
mnli,0.95,73,0.5,12.0
mnli,0.95,41,0.5,12.0
mnli,0.95,25,0.5384615659713745,4.0
mnli,0.95,37,0.5,12.0
mnli,0.95,41,0.5,12.0
mnli,0.95,84,0.4941176474094391,12.0
mnli,0.95,9,0.5,12.0
mnli,0.95,52,0.5094339847564697,12.0
mnli,0.95,44,0.5111111402511597,12.0
mnli,0.95,22,0.52173912525177,12.0
mnli,0.95,45,0.52173912525177,12.0
mnli,0.95,22,0.52173912525177,12.0
mnli,0.95,62,0.5079365372657776,12.0
mnli,0.95,30,0.5161290168762207,12.0
mnli,0.95,15,0.5625,12.0
mnli,0.95,55,0.5,12.0
mnli,0.95,44,0.5111111402511597,12.0
mnli,0.95,13,0.5,12.0
mnli,0.95,60,0.5081967115402222,12.0
mnli,0.95,25,0.5384615659713745,12.0
mnli,0.95,48,0.5102040767669678,12.0
mnli,0.95,29,0.5,12.0
mnli,0.95,40,0.5121951103210449,12.0
mnli,0.95,33,0.5,12.0
mnli,0.95,33,0.5,12.0
mnli,0.95,24,0.5199999809265137,4.0
mnli,0.95,30,0.5161290168762207,4.0
mnli,0.95,11,0.5833333134651184,4.0
mnli,0.95,50,0.5098039507865906,12.0
mnli,0.95,40,0.5121951103210449,12.0
mnli,0.95,73,0.5,12.0
mnli,0.95,34,0.5142857432365417,12.0
mnli,0.95,53,0.5,12.0
mnli,0.95,30,0.5161290168762207,12.0
mnli,0.95,12,0.5384615659713745,4.0
mnli,0.95,30,0.5161290168762207,12.0
mnli,0.95,63,0.5,12.0
mnli,0.95,38,0.5128205418586731,12.0
mnli,0.95,26,0.5185185074806213,4.0
mnli,0.95,30,0.5161290168762207,4.0
mnli,0.95,24,0.5199999809265137,12.0
mnli,0.95,49,0.5,12.0
mnli,0.95,14,0.5333333611488342,12.0
mnli,0.95,43,0.5,4.0
mnli,0.95,46,0.5106382966041565,12.0
mnli,0.95,19,0.5,12.0
mnli,0.95,21,0.5454545617103577,12.0
mnli,0.95,28,0.517241358757019,12.0
mnli,0.95,68,0.5072463750839233,12.0
mnli,0.95,43,0.5,4.0
mnli,0.95,68,0.5072463750839233,12.0
mnli,0.95,19,0.5,12.0
mnli,0.95,15,0.5625,12.0
mnli,0.95,26,0.5185185074806213,4.0
mnli,0.95,51,0.5,12.0
mnli,0.95,32,0.5151515007019043,12.0
mnli,0.95,36,0.5135135054588318,12.0
mnli,0.95,35,0.5277777910232544,12.0
mnli,0.95,26,0.5185185074806213,12.0
mnli,0.95,15,0.5625,12.0
mnli,0.95,35,0.5277777910232544,12.0
mnli,0.95,46,0.5106382966041565,12.0
mnli,0.95,25,0.5384615659713745,12.0
mnli,0.95,55,0.5,12.0
mnli,0.95,34,0.5142857432365417,12.0
mnli,0.95,39,0.5,12.0
mnli,0.95,57,0.5,12.0
mnli,0.95,19,0.5,12.0
mnli,0.95,75,0.5,12.0
mnli,0.95,7,0.625,12.0
mnli,0.95,24,0.5199999809265137,12.0
mnli,0.95,33,0.5,12.0
mnli,0.95,42,0.5116279125213623,12.0
mnli,0.95,63,0.5,4.0
mnli,0.95,30,0.5161290168762207,12.0
mnli,0.95,68,0.5072463750839233,4.0
mnli,0.95,11,0.5833333134651184,12.0
mnli,0.95,14,0.5333333611488342,12.0
mnli,0.95,36,0.5135135054588318,12.0
mnli,0.95,40,0.5121951103210449,12.0
mnli,0.95,17,0.5555555820465088,12.0
mnli,0.95,68,0.5072463750839233,4.0
mnli,0.95,32,0.5151515007019043,12.0
mnli,0.95,52,0.5094339847564697,12.0
mnli,0.95,33,0.5,12.0
